pid,name,pwd
1,"McLeish, Erin",70353
2,"Sellie, Linda",86604
3,"Aloupis, Greg",41849
4,"Civil, Gennadiy",73939
5,"Suel, Torsten",33943
6,"Yotov, Kamen",13938
7,"Sun, Qi",75436
8,"Reddington, Thomas",21714
9,"Rodriguez, Juan",83450
10,"Vaisman, Joseph",67497
11,"Togelius, Julian",86940
12,"Gerig, Guido",57946
13,"Phillips, Quiessence",13932
14,"Portnoy, Rafael",50973
15,"Zhao, Zhengxue",36298
16,"Di Crescenzo, Giovanni",87368
17,"Musco, Christopher",89152
18,"Zhu, Quanyan",18020
19,"Jiang, Zhong-ping",94925
20,"Campisi, Matthew",17994
21,"Lu, I-Tai",27580
22,"Selesnick, Ivan",82648
23,"Chen, Xiao-Kang",30658
24,"Chao, Jonathan",31552
25,"SHAHRJERDI, DAVOOD",1344
26,"Bhavnagarwala, Azeez",60908
27,"De Leon, Francisco",10346
28,"Czarkowski, Dariusz",23941
29,"Khorrami, Farshad",44334
30,"Hegde, Chinmay",94387
